informal,formal
یه مورچه دیدیم که بار سنگینشو رو دوشش گذاشته بود,مورچه اي را ديديم كه بار سنگين خود را روی دوشش گذاشته بود
در یکی از روزهای زندگی‌ام بسیار غمگین بودم,در يكي از روزهاي زندگی‌ام بسيار غمگين بودم
آثار پیکاسو رو تو گالری ملی اردن گذاشتن و افتتاحشون کردن,آثار پيكاسو را در گالري ملي اردن افتتاح كردند
آیا بازی فقط مختص بچه‌ها و زندگی روزمره جووناس؟,آیا بازی فقط مختص بچه‌ها و زندگی روزمره جوانان است؟
سرعت کارتونو بالا ببرید,سرعت کارتان را بالا ببرید
با هم مهربون باشید,با هم مهربان باشید
می‌دونم مامانم حالش خوب نیست.,می‌دانم که مادرم حالش خوب نیست.
این‌جا همون جاییه که وقتی بارون میاد، شهاب‌سنگی‌ها بهش پناه میارن.,این‌جا همان جایی است که وقتی باران می‌آید، شهاب‌سنگ‌ها به آن پناه می‌آورند.
می‌تونی کتابارو با خودت به مدرسه ببری چون من نیستم.,می‌توانی کتاب‌ها را با خودت به مدرسه ببری چون من نیستم.
بزار فردا بعد از مدرسه تو رو پیدا کنم، چطوره؟,بگذار فردا بعد از مدرسه تو را پیدا کنم، چطور است؟
بیخیال، من نبودم، اون خودش این کارو شروع کرد.,بیخیال، من نبودم، او خودش این کار را شروع کرد.
تو اونجا چیزای جدید زیادی داری.,تو آنجا چیزهای جدید زیادی داری.
ابیگیل، ببخشید، اشتباه من بود که فاصله گرفتم، همه چیز عالیه.,ابیگیل، ببخشید، اشتباه من بود که فاصله گرفتم، همه چیز عالی است.
دوباره اتفاق نمی‌افته، مشکلی نیست.,دوباره اتفاق نمی‌افتد، مشکلی نیست.
خب، حالا گوش کن دیگ.,خب، حالا گوش کن دیگر.
پس فردا جلوی در مدرسه تو رو می‌بینم، باشه؟,پس فردا جلوی در مدرسه تو را می‌بینم، باشد؟
دوست دارمت,دوست دارم تو را
انگار ما توی خیلی چیزا با هم مشترکیم.,انگار ما در خیلی از چیزها با هم مشترک هستیم.
اما فکر می‌کنم خیلیا این حرفارو می‌زنن چون.,اما فکر می‌کنم خیلی‌ها این حرف‌ها را می‌زنند چون.
اصلاً بعضیا از بغل کردن خوششون نمیاد.,اصلاً بعضی‌ها از بغل کردن خوششان نمی‌آید.
ممکنه ترسناک باشه.,ممکن است ترسناک باشد.
فروشگاه سر کوچه مون خیلی چیزمیزای خوب و ارزونی اورده,فروشگاه سر کوچه‌ی ما کالاهای خوب و ارزانی آورده است
از دست کارات خسته شدم,از دست کارهایتان خسته شده‌ام
حالا که همه چیز مرتبه,حالا که همه چیز مرتب است
اطلاعات مربوط به پروژه رو حتماً تا تاریخ ۳۰ جولای بفرستین,اطلاعات مربوط به پروژه را حتماً تا تاریخ ۳۰ جولای بفرستید.
اعلام می‌کنم که به خاطر تغییرات زمانبندی، جلسه به فردا منتقل شد,اعلام می‌کنم که به دلیل تغییرات زمانبندی، جلسه به فردا منتقل شده است.
بهتون خبر می‌دهم که شما برنده مناقصه شدید، خوشحالیم براتون,به شما خبر می‌دهم که شما برنده مناقصه شده‌اید، خوشحال هستیم برای شما
خواهش می‌کنم فاکتورها رو سریع برای ما ارسال کنین,خواهش می‌کنم فاکتورها را سریعاً برای ما ارسال کنید
حتماً ما رو به طور مداوم با خبر از وضعیت پروژه نگه دارید,حتماً ما را به طور مداوم با خبر از وضعیت پروژه نگه دارید.
با توجه به شرایط حال، بهتره برنامه‌ها رو به تعویق بندازیم.,با توجه به شرایط حال، بهتر است برنامه‌ها را به تعویق بیاندازیم.
هنر واقعاً سرمایه‌ای ارزشمنده برای توسعه فرهنگ و تمدن جوامعه,هنر واقعاً سرمایه‌ای ارزشمند برای توسعه فرهنگ و تمدن جامعه است
با کمک هنر می‌تونیم ارتباطات فرهنگی و همبستگی بین ملتارو تقویت کنیم.,با کمک هنر می‌توانیم ارتباطات فرهنگی و همبستگی بین ملت‌ها را تقویت کنیم.
بیا بریم بازار یکم خرید کنیم,بیایید برویم به بازار کمی خرید کنیم
یکم خستم,کمی خسته شدم.
اعصابمو خورد کردی ولم کن,اعصابم را خورد کرده‌اید، رهایم کنید.
منو ول کن,من را رها کنید.
چی گفتی؟,چه گفتید؟
بهم بگو,به من بگویید.
باهام حرف بزن,با من حرف بزنید.
مرسی که اجازه دادی لباسای جدیدمونو بهت معرفی کنیم,متشکرم که اجازه دادید لباس‌های جدیدمان را به شما معرفی کنیم.
اگه نیاز به راهنمایی دارید تو خرید لباس، ما هستیم که کمکتون کنیم,اگر نیاز به راهنمایی دارید در خرید لباس، ما هستیم که کمکتان کنیم
آخرین مجموعه لباس‌های جدیدمون به فروشگاه اضافه شدن. حتماً برید چک کنین,آخرین مجموعه لباس‌های جدیدمان به فروشگاه اضافه شدند. حتماً بروید و چک کنید
این‌ مشکل باید حل بشه,این مشکل باید حل بشود
خونه مونو باهم میسازیم,خانه‌مان را با هم می‌سازیم
دیواراشو رنگ میکنیم,دیوارهایش را رنگ می‌کنیم
خواهشا یکم درس بخوان,خواهشا کمی درس بخوانید
دنبال دعوا نباش,دنبال دعوا نباشید
اینا مجانیه,این‌ها مجانی هستند
محسن که سر حذف حسین خیلی بد کرد.,محسن که در حذف حسین بسیار بد رفتار کرد.
همون چیزی که فرزاد گفت ،حسین چون دوستش بود گف این مافیا نیس اینو زود برداشتی که الکی تارگتش کنی,"همان چیزی که فرزاد گفت، حسین چون دوست او بود گفت: ""این مافیا نیست این را زود برداشتید که الکی تارگت‌اش کنید"
این اولین تجربه من برای خرید ایفون هست امروز ب دستم رسیده به اسم طلایی هست ولی دراصل رزگلده خیلی هم خوش رنگ هست,این اولین تجربه من برای خرید ایفون است امروز به دستم رسیده است به اسم طلایی است اما در واقع رزگلد است خیلی هم خوش‌رنگ است.
خرید این محصول رو توصیه میکنم,خرید این محصول را توصیه می‌کنم
1 ساله این گوشی رو دارم هیچ نقطه ضعفی ازش ندیدم,1 سال است که این گوشی را دارم هیچ نقطه ضعفی از آن ندیدم
سلام خدمت دوستان این گوشی از همه نظر عالی کیفیت ساخت سرعت اجرا کیفیت صدا و تصویر از نظر حافظه هم فقط 5 گیگ در دسترس شما قرار میگیره,سلام خدمت دوستان، این گوشی از همه نظر عالی است کیفیت ساخت سرعت اجرا کیفیت صدا و تصویر از نظر حافظه هم فقط ۵ گیگ در دسترس شما قرار می‌گیرد
سلام دوستانی که نگران شکستن صفحه نمایش هستند این رو بدونند که صفحه با گوریلا گلس 5 محافظت میشه و با خدمات ویژه سامسونگ اگر تحت هر شرایط صفحه گوشی دچار ایراد بشه با 200 هزار تومان صفحه رو براتون تعویض میکنند و از لحاظ امکانات هم گوشی عالیه و من از خرید خودم راضیم,سلام دوستانی که نگران شکستن صفحه نمایش هستند باید بدانند که صفحه با گوریلا گلس 5 محافظت می‌شود و با خدمات ویژه سامسونگ اگر تحت هر شرایط صفحه گوشی دچار ایراد بشود با 200 هزار تومان صفحه را برای شما تعویض می‌کنند و از لحاظ امکانات هم گوشی عالی است و من از خرید خودم راضی‌ هستم
من پکیج کاملش روخریدم ازهرنظرعالیه هیچ نقدوایرادی بهش وارد نیست فقط یه گوشی لوکسه باید خیلی مواظب ضربه خوردن وشکستنش باشین,من پکیج کامل آن را خرید کردم و از هر نظر عالی است هیچ نقد و ایرادی به آن وارد نیست فقط یک گوشی لوکس است باید خیلی مواظب ضربه خوردن و شکستن آن باشید.
تجربه استفاده از این گوشی جای هیچ حرف و حدیثی باقی نمیگذاره,تجربه استفاده از این گوشی جای هیچ حرف و حدیثی باقی نمی‌گذارد.
من نوت 8 رو از دیجی پیش خرید کردم خیلی خیلی راضیم گوشی خیلی خوب و زیباییه تو چند ساعت اول حس میکنید خیلی بزرگ و کشیدست که بعد اون چند ساعت کاملا براتون طبیعی میشه خوش دست هست ولی خیلی نمیشه باهاش یه دستی کار کرد جای سنسور اثر انگشت هم خیلی برای راست دستا که گوشی رو با دست چپ میگیرن و با دست راست لمس میکنن مناسب نیست اینا که گفتم تقریبا بدیاش بود به غیر از اینا تو همه چی عالیه,من نوت 8 را از دیجی پیش‌ خرید کردم خیلی راضی هستم گوشی خیلی خوب و زیبایی است در چند ساعت اول حس می‌کنید که بسیار بزرگ و کشیده است اما بعد از آن چند ساعت کاملاً برایتان طبیعی می‌شود. خوش‌دست است، اما خیلی نمی‌شود با آن یکدستی کار کرد جای سنسور اثر انگشت هم برای راست‌دستان که گوشی را با دست چپ می‌گیرند و با دست راست لمس می‌کنند مناسب نیست این‌ها که گفتم تقریباً بدی‌های آن بود به غیر از این‌ها در همه‌ چیز عالی است
